date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:32	77411/77411	---M--	200	added ('OK')	image/jpeg	etag:%225c6aa8f6-12e63%22	https://demo.bootstrapious.com/foliou/2-0-1/img/gallery-1.jpeg	D:/Web_sites/1/demo.bootstrapious.com/foliou/2-0-1/img/gallery-1.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:34	42016/42016	---M--	200	added ('OK')	image/jpeg	etag:%225af414cd-a420%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-2-small.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-2-small.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:39	100560/100560	---M--	200	added ('OK')	image/jpeg	etag:%225c6aa8fa-188d0%22	https://demo.bootstrapious.com/foliou/2-0-1/img/gallery-2.jpg	D:/Web_sites/1/demo.bootstrapious.com/foliou/2-0-1/img/gallery-2.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:48	51914/51914	---M--	200	added ('OK')	image/jpeg	etag:%225af414dc-caca%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-4-small.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-4-small.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:18:07	49278/49278	---M--	200	added ('OK')	image/jpeg	etag:%225af414d4-c07e%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-3-small.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-3-small.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:18:09	100843/100843	---M--	200	added ('OK')	image/jpeg	etag:%225c6aa8ff-189eb%22	https://demo.bootstrapious.com/foliou/2-0-1/img/gallery-3.jpg	D:/Web_sites/1/demo.bootstrapious.com/foliou/2-0-1/img/gallery-3.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:18:15	128461/128461	---M--	200	added ('OK')	image/jpeg	etag:%225c6aa904-1f5cd%22	https://demo.bootstrapious.com/foliou/2-0-1/img/gallery-4.jpg	D:/Web_sites/1/demo.bootstrapious.com/foliou/2-0-1/img/gallery-4.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:18:24	4203/4203	---M--	200	added ('OK')	image/png	etag:%225af414f4-106b%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/logo-footer.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/logo-footer.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:07	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af41595-1538f%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery/jquery.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery/jquery.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:08	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af415f7-4f71%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/popper.js/umd/popper.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/popper.js/umd/popper.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:09	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af4153f-c62b%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/bootstrap/js/bootstrap.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/bootstrap/js/bootstrap.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:09	3121/3121	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af415c9-c31%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery.cookie/jquery.cookie.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery.cookie/jquery.cookie.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:09	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af415db-ad36%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/owl.carousel/owl.carousel.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/owl.carousel/owl.carousel.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:09	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af415ce-4ef8%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/magnific-popup/jquery.magnific-popup.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/magnific-popup/jquery.magnific-popup.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:09	23261/23261	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af415aa-5add%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery-validation/jquery.validate.min.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/jquery-validation/jquery.validate.min.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:11	5029/5029	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af41510-13a5%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/js/front.js	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/js/front.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:13	148540/148540	---M--	200	added ('OK')	image/png	etag:%225af41509-2443c%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/template-mac.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/template-mac.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:13	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	D:/Web_sites/1/www.google-analytics.com/analytics.js	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:19:18	40088/40088	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b4493f-9c98%22	https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.eot	D:/Web_sites/1/file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.eot	(from https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/icons.css)
22:19:19	40088/40088	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b4493f-9c98%22	https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.eot?	D:/Web_sites/1/file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238d41d.eot	(from https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/icons.css)
22:19:36	20196/20196	---M--	200	added ('OK')	application/font-woff	etag:%2258b4493f-4ee4%22	https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.woff	D:/Web_sites/1/file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.woff	(from https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/icons.css)
22:19:39	39928/39928	---M--	200	added ('OK')	application/octet-stream	etag:%2258b4493f-9bf8%22	https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.ttf	D:/Web_sites/1/file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.ttf	(from https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/icons.css)
22:19:43	4976/4976	---M--	200	added ('OK')	image/png	etag:%225af415d5-1370%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/owl.carousel/assets/owl.video.play.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/owl.carousel/assets/owl.video.play.png	(from https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/vendor/owl.carousel/assets/owl.carousel.css)
22:19:44	96958/96958	---M--	200	added ('OK')	image/svg+xml	etag:%2258b4493f-17abe%22	https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.svg	D:/Web_sites/1/file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/fonts/1488210238.svg	(from https://file.myfontastic.com/5snkrxHHMrEY5ybaZhVHUH/icons.css)
22:19:44	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202021%2020:19:45%20GMT	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/portrait_black.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/portrait_black.png	(from https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/css/device-mockups.min.css)
22:19:44	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202021%2020:19:45%20GMT	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/portrait_white.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/portrait_white.png	(from https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/css/device-mockups.min.css)
22:19:45	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202021%2020:19:46%20GMT	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/landscape_black.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/landscape_black.png	(from https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/css/device-mockups.min.css)
22:19:46	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202021%2020:19:47%20GMT	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/landscape_white.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/device-mockups/galaxyS3/landscape_white.png	(from https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/css/device-mockups.min.css)
